customer_id,transaction_date,monetary_value
C0001,30-01-2023,282
C0001,13-02-2023,2255
C0001,26-02-2023,331
C0001,07-03-2023,1158
C0001,17-03-2023,1936
C0001,04-04-2023,2491
C0001,21-04-2023,1426
C0001,20-05-2023,1821
C0001,03-06-2023,767
C0001,23-06-2023,1646
C0001,18-07-2023,2103
C0001,17-08-2023,710
C0001,11-09-2023,925
C0001,18-09-2023,140
C0001,14-10-2023,193
C0001,28-10-2023,929
C0002,14-01-2023,1477
C0002,04-02-2023,2415
C0002,05-03-2023,1521
C0002,01-04-2023,314
C0002,09-04-2023,348
C0002,25-04-2023,832
C0002,14-05-2023,2485
C0002,09-06-2023,1043
C0002,20-06-2023,1704
C0002,17-07-2023,363
C0002,02-08-2023,1669
C0002,22-08-2023,1455
C0003,29-01-2023,438
C0003,10-02-2023,636
C0003,07-03-2023,1621
C0003,31-03-2023,315
C0003,22-04-2023,784
C0003,07-05-2023,2118
C0003,05-06-2023,1224
C0003,19-06-2023,1856
C0003,14-07-2023,723
C0004,01-02-2023,302
C0004,20-02-2023,2474
C0004,03-03-2023,839
C0004,14-03-2023,2175
C0004,21-03-2023,1368
C0004,03-04-2023,2035
C0004,25-04-2023,1036
C0004,15-05-2023,408
C0004,05-06-2023,1368
C0004,16-06-2023,1395
C0005,01-02-2023,1461
C0005,01-03-2023,2064
C0005,15-03-2023,723
C0005,07-04-2023,200
C0005,26-04-2023,184
C0005,14-05-2023,500
C0005,10-06-2023,2317
C0005,27-06-2023,346
C0005,22-07-2023,1552
C0005,17-08-2023,2313
C0006,07-02-2023,387
C0006,26-02-2023,173
C0006,07-03-2023,474
C0006,22-03-2023,1188
C0006,31-03-2023,166
C0006,17-04-2023,2401
C0006,14-05-2023,215
C0006,03-06-2023,651
C0006,29-06-2023,524
C0006,26-07-2023,1650
C0007,31-01-2023,1963
C0007,01-03-2023,1794
C0007,23-03-2023,195
C0007,19-04-2023,226
C0007,10-05-2023,1893
C0007,30-05-2023,1697
C0007,27-06-2023,246
C0007,14-07-2023,1692
C0007,22-07-2023,1802
C0007,18-08-2023,874
C0007,02-09-2023,872
C0007,01-10-2023,1276
C0007,31-10-2023,325
C0007,27-11-2023,663
C0007,07-12-2023,1235
C0007,19-12-2023,2305
C0008,27-01-2023,712
C0008,03-02-2023,1018
C0008,17-02-2023,1732
C0008,03-03-2023,2064
C0008,02-04-2023,2155
C0008,16-04-2023,1132
C0009,04-02-2023,355
C0009,20-02-2023,500
C0009,27-02-2023,1440
C0009,14-03-2023,2178
C0009,08-04-2023,1074
C0009,07-05-2023,2131
C0009,26-05-2023,507
C0009,16-06-2023,577
C0009,06-07-2023,1936
C0009,15-07-2023,1270
C0009,04-08-2023,1836
C0009,31-08-2023,1837
C0009,15-09-2023,2100
C0009,10-10-2023,1813
C0009,24-10-2023,1433
C0009,21-11-2023,1028
C0009,28-11-2023,1780
C0010,13-02-2023,491
C0010,25-02-2023,541
C0010,20-03-2023,2169
C0010,19-04-2023,2465
C0010,17-05-2023,653
C0010,14-06-2023,321
C0010,10-07-2023,1738
C0010,02-08-2023,298
C0010,24-08-2023,1089
C0010,18-09-2023,1412
C0010,30-09-2023,631
C0010,09-10-2023,207
C0010,25-10-2023,2188
C0010,13-11-2023,312
C0011,02-02-2023,2352
C0011,02-03-2023,1839
C0011,20-03-2023,1695
C0011,31-03-2023,660
C0011,07-04-2023,2057
C0011,07-05-2023,1925
C0011,03-06-2023,258
C0011,13-06-2023,854
C0011,02-07-2023,1503
C0011,25-07-2023,414
C0011,19-08-2023,653
C0011,16-09-2023,1391
C0011,08-10-2023,2109
C0011,21-10-2023,1207
C0011,04-11-2023,2373
C0011,29-11-2023,473
C0011,15-12-2023,1215
C0012,10-01-2023,2292
C0012,23-01-2023,1194
C0012,15-02-2023,2154
C0012,15-03-2023,1147
C0012,06-04-2023,1424
C0012,14-04-2023,603
C0012,07-05-2023,2214
C0012,26-05-2023,581
C0012,09-06-2023,539
C0012,30-06-2023,2368
C0012,20-07-2023,2036
C0012,05-08-2023,844
C0012,29-08-2023,1112
C0012,15-09-2023,1608
C0012,07-10-2023,2434
C0012,16-10-2023,2373
C0012,08-11-2023,1570
C0012,06-12-2023,1974
C0013,24-01-2023,1945
C0013,17-02-2023,1732
C0013,04-03-2023,442
C0013,26-03-2023,388
C0013,22-04-2023,1437
C0014,19-01-2023,559
C0014,26-01-2023,1580
C0014,11-02-2023,126
C0014,25-02-2023,1249
C0014,19-03-2023,1082
C0014,06-04-2023,460
C0014,28-04-2023,290
C0014,10-05-2023,2121
C0014,23-05-2023,458
C0014,12-06-2023,1701
C0014,28-06-2023,469
C0014,24-07-2023,2409
C0014,16-08-2023,748
C0014,08-09-2023,419
C0014,18-09-2023,1524
C0015,18-01-2023,1292
C0015,14-02-2023,1136
C0015,26-02-2023,1913
C0015,18-03-2023,594
C0016,27-01-2023,803
C0016,03-02-2023,1083
C0016,25-02-2023,2294
C0016,10-03-2023,421
C0016,27-03-2023,1753
C0016,25-04-2023,876
C0016,06-05-2023,145
C0016,28-05-2023,1063
C0017,26-01-2023,653
C0017,07-02-2023,1552
C0017,23-02-2023,890
C0017,08-03-2023,588
C0017,01-04-2023,1715
C0017,24-04-2023,935
C0017,08-05-2023,1996
C0017,04-06-2023,748
C0017,23-06-2023,1983
C0017,20-07-2023,1376
C0017,31-07-2023,1127
C0017,13-08-2023,704
C0017,12-09-2023,2349
C0017,06-10-2023,428
C0017,23-10-2023,2068
C0017,13-11-2023,1309
C0018,12-01-2023,2398
C0018,09-02-2023,1864
C0018,06-03-2023,2328
C0018,26-03-2023,1465
C0018,18-04-2023,2151
C0018,04-05-2023,480
C0018,23-05-2023,2206
C0018,09-06-2023,2161
C0018,03-07-2023,1575
C0018,19-07-2023,1389
C0018,13-08-2023,1368
C0018,06-09-2023,1543
C0019,06-02-2023,1126
C0019,14-02-2023,2112
C0019,01-03-2023,598
C0019,31-03-2023,1689
C0019,11-04-2023,360
C0019,28-04-2023,1077
C0019,21-05-2023,2448
C0019,12-06-2023,1313
