customer_id,transaction_date,monetary_value
C0001,30-01-2023,640
C0001,13-02-2023,2414
C0001,26-02-2023,1748
C0001,07-03-2023,693
C0001,17-03-2023,3875
C0001,04-04-2023,4708
C0001,21-04-2023,4124
C0001,20-05-2023,1023
C0001,03-06-2023,741
C0002,23-06-2023,1122
C0002,18-07-2023,2753
C0002,17-08-2023,2995
C0002,11-09-2023,3905
C0002,18-09-2023,2555
C0002,14-10-2023,4126
C0002,28-10-2023,944
C0002,14-01-2023,1340
C0002,04-02-2023,3383
C0002,05-03-2023,1930
C0002,01-04-2023,505
C0002,09-04-2023,467
C0003,25-04-2023,3438
C0003,14-05-2023,4066
C0003,09-06-2023,4555
C0003,20-06-2023,2500
C0003,17-07-2023,2827
C0003,02-08-2023,258
C0004,22-08-2023,3081
C0004,29-01-2023,1694
C0004,10-02-2023,2330
C0004,07-03-2023,4257
C0004,31-03-2023,826
C0004,22-04-2023,4449
C0004,07-05-2023,2506
C0004,05-06-2023,3018
C0004,19-06-2023,1104
C0004,14-07-2023,1066
C0004,01-02-2023,1438
C0004,20-02-2023,4703
C0004,03-03-2023,1777
C0004,14-03-2023,2835
C0004,21-03-2023,2489
C0004,03-04-2023,4412
C0005,25-04-2023,429
C0005,15-05-2023,1238
C0005,05-06-2023,768
C0005,16-06-2023,1985
C0005,01-02-2023,832
C0005,01-03-2023,1904
C0005,15-03-2023,2669
C0005,07-04-2023,752
C0006,26-04-2023,4248
C0006,14-05-2023,3860
C0006,10-06-2023,2371
C0006,27-06-2023,1822
C0006,22-07-2023,1400
C0006,17-08-2023,4466
C0006,07-02-2023,3241
C0006,26-02-2023,3355
C0006,07-03-2023,3047
C0006,22-03-2023,2923
C0006,31-03-2023,4261
C0006,17-04-2023,1097
C0006,14-05-2023,475
C0006,03-06-2023,1637
C0006,29-06-2023,1413
C0006,26-07-2023,1518
C0007,31-01-2023,3330
C0007,01-03-2023,1545
C0007,23-03-2023,2131
C0007,19-04-2023,4040
C0007,10-05-2023,4144
C0007,30-05-2023,495
C0007,27-06-2023,3692
C0007,14-07-2023,4094
C0007,22-07-2023,3267
C0007,18-08-2023,4735
C0007,02-09-2023,304
C0008,01-10-2023,2611
C0008,31-10-2023,254
C0008,27-11-2023,4135
C0008,07-12-2023,3249
C0008,19-12-2023,2525
C0008,27-01-2023,1460
C0008,03-02-2023,4297
C0008,17-02-2023,1614
C0008,03-03-2023,4583
C0008,02-04-2023,3980
C0008,16-04-2023,3707
C0008,04-02-2023,975
C0008,20-02-2023,2888
C0008,27-02-2023,4225
C0008,14-03-2023,1990
C0008,08-04-2023,1076
C0008,07-05-2023,761
C0009,26-05-2023,3367
C0009,16-06-2023,806
C0009,06-07-2023,1843
C0009,15-07-2023,3100
C0009,04-08-2023,1126
C0009,31-08-2023,3946
C0009,15-09-2023,3954
C0009,10-10-2023,2485
C0009,24-10-2023,270
C0009,21-11-2023,2589
C0009,28-11-2023,4664
C0009,13-02-2023,211
C0009,25-02-2023,3690
C0009,20-03-2023,1700
C0010,19-04-2023,2935
C0010,17-05-2023,2184
C0010,14-06-2023,2333
C0010,10-07-2023,2885
C0010,02-08-2023,1260
C0010,24-08-2023,367
C0010,18-09-2023,3837
C0010,30-09-2023,573
C0011,09-10-2023,4440
C0011,25-10-2023,376
C0011,13-11-2023,3297
C0011,02-02-2023,1852
C0011,02-03-2023,1978
C0011,20-03-2023,1820
C0011,31-03-2023,2766
C0011,07-04-2023,406
C0011,07-05-2023,3590
C0011,03-06-2023,2954
C0011,13-06-2023,216
C0011,02-07-2023,4648
C0011,25-07-2023,1151
C0011,19-08-2023,4157
C0011,16-09-2023,1796
C0011,08-10-2023,618
C0011,21-10-2023,2476
C0012,04-11-2023,981
C0012,29-11-2023,4004
C0012,15-12-2023,3296
C0012,10-01-2023,2903
C0012,23-01-2023,4492
C0012,15-02-2023,3538
C0012,15-03-2023,1108
C0012,06-04-2023,1723
C0012,14-04-2023,373
C0013,07-05-2023,1882
C0013,26-05-2023,1026
C0013,09-06-2023,3242
C0013,30-06-2023,3777
C0013,20-07-2023,1168
C0013,05-08-2023,984
C0013,29-08-2023,1678
C0014,15-09-2023,3268
C0014,07-10-2023,222
C0014,16-10-2023,1928
C0014,08-11-2023,4661
C0014,06-12-2023,1711
C0014,24-01-2023,4389
C0014,17-02-2023,3969
C0014,04-03-2023,3098
C0014,26-03-2023,3464
C0014,22-04-2023,1349
C0014,19-01-2023,215
C0014,26-01-2023,2747
C0014,11-02-2023,3876
C0014,25-02-2023,1178
C0014,19-03-2023,2880
C0014,06-04-2023,1031
C0014,28-04-2023,339
C0014,10-05-2023,3889
C0014,23-05-2023,1891
C0014,12-06-2023,2938
C0014,28-06-2023,1366
C0015,24-07-2023,1777
C0015,16-08-2023,4160
C0015,08-09-2023,4592
C0015,18-09-2023,2577
C0015,18-01-2023,681
C0015,14-02-2023,1743
C0015,26-02-2023,4083
C0015,18-03-2023,4144
C0015,27-01-2023,3522
C0015,03-02-2023,4331
C0015,25-02-2023,1842
C0015,10-03-2023,2934
C0015,27-03-2023,2145
C0016,25-04-2023,1852
C0016,06-05-2023,4281
C0016,28-05-2023,405
C0016,26-01-2023,726
C0016,07-02-2023,2013
C0016,23-02-2023,532
C0016,08-03-2023,4349
C0016,01-04-2023,2256
C0016,24-04-2023,3050
C0016,08-05-2023,4583
C0016,04-06-2023,2300
C0016,23-06-2023,530
C0016,20-07-2023,878
C0016,31-07-2023,2526
C0016,13-08-2023,624
C0016,12-09-2023,2000
C0016,06-10-2023,2079
C0016,23-10-2023,1766
C0017,13-11-2023,3196
C0017,12-01-2023,398
C0017,09-02-2023,1439
C0017,06-03-2023,4485
C0017,26-03-2023,4690
C0017,18-04-2023,3862
C0017,04-05-2023,443
C0017,23-05-2023,2134
C0017,09-06-2023,3308
C0017,03-07-2023,2058
C0017,19-07-2023,451
C0017,13-08-2023,442
C0017,06-09-2023,428
C0017,06-02-2023,4379
C0017,14-02-2023,209
C0017,01-03-2023,1827
C0017,31-03-2023,1256
C0017,11-04-2023,4288
C0017,28-04-2023,341
C0017,21-05-2023,4150
C0018,12-06-2023,2691
C0018,23-06-2023,2608
C0018,02-07-2023,456
C0018,13-07-2023,3780
C0018,28-07-2023,351
C0018,13-08-2023,3743
C0018,06-09-2023,1138
C0018,14-09-2023,4244
C0018,20-01-2023,2176
C0019,16-02-2023,419
C0019,18-03-2023,3806
C0019,11-04-2023,670
C0019,07-05-2023,2656
C0019,16-05-2023,4085
C0019,27-05-2023,3883
C0020,12-06-2023,1141
C0020,25-01-2023,4644
C0020,24-02-2023,3270
C0020,22-03-2023,3033
C0020,16-04-2023,2439
C0020,02-05-2023,4376
C0020,26-05-2023,3322
C0020,24-06-2023,2979
C0020,14-07-2023,265
C0020,10-08-2023,2967
C0020,29-08-2023,2390
C0020,11-09-2023,277
C0020,29-09-2023,3708
C0020,29-10-2023,4591
C0020,10-11-2023,1203
C0020,09-12-2023,1514
C0021,25-12-2023,3070
C0021,30-01-2023,3324
C0021,27-02-2023,2255
C0021,24-03-2023,2960
C0021,04-04-2023,1284
C0021,26-04-2023,4494
C0021,06-05-2023,3522
C0022,25-05-2023,2322
C0022,16-06-2023,2571
C0022,29-06-2023,2678
C0022,11-07-2023,1162
C0022,30-07-2023,1956
C0022,29-08-2023,3074
C0022,11-09-2023,339
C0022,04-10-2023,1200
C0022,27-10-2023,2379
C0022,24-11-2023,566
C0022,01-12-2023,747
C0022,30-12-2023,4123
C0022,23-01-2023,1768
C0022,22-02-2023,1906
C0022,20-03-2023,2144
C0022,30-03-2023,3898
C0022,07-04-2023,2836
C0022,02-05-2023,207
C0023,26-01-2023,3776
C0023,17-02-2023,2133
C0023,15-03-2023,4009
C0023,14-04-2023,3616
C0023,30-04-2023,1398
C0023,28-01-2023,1951
C0023,19-02-2023,1002
C0023,26-02-2023,2850
C0023,24-03-2023,1916
C0023,09-04-2023,3165
C0023,27-04-2023,3100
C0023,20-05-2023,2576
C0023,16-06-2023,749
C0023,10-07-2023,242
C0023,18-07-2023,2584
C0023,30-07-2023,1536
C0023,24-01-2023,1767
C0023,23-02-2023,1976
C0024,03-03-2023,881
C0024,25-03-2023,649
C0024,02-04-2023,3603
C0024,11-04-2023,1681
C0024,07-05-2023,4785
C0024,21-05-2023,2404
C0024,29-05-2023,644
C0024,17-06-2023,1412
C0024,12-07-2023,1445
C0024,05-02-2023,3777
C0024,22-02-2023,422
C0024,17-03-2023,4081
C0024,14-04-2023,2439
C0024,11-05-2023,2920
C0024,24-05-2023,2828
C0024,31-05-2023,1699
C0024,22-06-2023,1429
C0024,29-06-2023,780
C0024,12-07-2023,1418
C0025,02-08-2023,3043
C0025,15-08-2023,717
C0025,01-09-2023,3293
C0025,22-09-2023,2901
C0025,09-10-2023,3036
C0025,22-10-2023,2374
C0025,15-11-2023,3254
C0025,02-12-2023,2768
C0025,08-02-2023,2802
C0025,16-02-2023,1990
C0025,08-03-2023,974
C0025,25-03-2023,4011
C0025,15-04-2023,1185
C0025,12-05-2023,1429
C0025,09-06-2023,2830
C0025,03-07-2023,4472
C0025,14-07-2023,838
C0025,07-08-2023,729
C0025,18-08-2023,2320
C0026,05-09-2023,2015
C0026,21-09-2023,464
C0026,03-10-2023,1352
C0026,24-10-2023,3954
C0026,23-11-2023,3584
C0026,04-12-2023,2701
C0026,05-02-2023,478
C0026,13-02-2023,3400
C0026,06-03-2023,1030
C0026,04-04-2023,2834
C0026,25-04-2023,2142
C0026,05-05-2023,2980
C0026,21-05-2023,3302
C0026,01-02-2023,1775
C0026,11-02-2023,353
C0026,06-03-2023,978
C0026,14-03-2023,2189
C0026,25-03-2023,3066
C0027,24-04-2023,4765
C0027,01-05-2023,3512
C0027,20-05-2023,1750
C0027,22-01-2023,1991
C0027,07-02-2023,3544
C0027,05-03-2023,4387
C0027,19-03-2023,2233
C0027,14-04-2023,1379
C0027,04-05-2023,1269
C0027,14-05-2023,677
C0027,06-06-2023,894
C0027,27-06-2023,630
