customer_id,transaction_date,monetary_value
C0001,2024-02-21,677
C0001,2024-03-15,1395
C0001,2024-03-24,1362
C0001,2024-04-16,2845
C0001,2024-05-06,2301
C0001,2024-05-28,1126
C0001,2024-06-13,2100
C0002,2024-01-27,2496
C0002,2024-02-19,2241
C0002,2024-03-02,1818
C0002,2024-03-12,188
C0002,2024-04-10,2271
C0002,2024-04-25,2183
C0002,2024-05-20,3350
C0002,2024-05-31,1947
C0002,2024-06-07,833
C0002,2024-06-30,2528
C0002,2024-07-14,1682
C0002,2024-07-28,1206
C0002,2024-08-18,2986
C0002,2024-09-13,332
C0002,2024-10-10,2444
C0003,2024-01-28,1068
C0003,2024-02-25,1065
C0003,2024-03-19,3039
C0003,2024-04-06,1561
C0003,2024-04-24,3648
C0003,2024-05-06,3321
C0003,2024-05-18,1356
C0003,2024-05-26,1513
C0003,2024-06-23,2601
C0003,2024-07-23,515
C0003,2024-08-22,3448
C0003,2024-09-10,1869
C0003,2024-10-06,641
C0003,2024-11-05,832
C0003,2024-11-27,487
C0003,2024-12-19,1421
C0003,2024-12-26,3837
C0004,2024-01-28,1654
C0004,2024-02-16,298
C0004,2024-02-23,676
C0004,2024-03-09,1633
C0004,2024-03-26,2366
C0004,2024-04-21,3967
C0004,2024-05-16,722
C0004,2024-05-23,1729
C0004,2024-06-10,3886
C0004,2024-06-25,497
C0004,2024-07-17,3017
C0004,2024-08-12,2716
C0004,2024-09-03,3972
C0004,2024-09-25,1709
C0004,2024-10-11,3774
C0004,2024-11-06,2634
C0005,2024-01-22,1129
C0005,2024-01-31,1908
C0005,2024-02-13,3258
C0005,2024-02-22,3264
C0005,2024-03-20,3588
C0005,2024-04-14,1374
C0005,2024-04-28,340
C0005,2024-05-21,2026
C0006,2024-02-07,856
C0006,2024-02-24,2683
C0006,2024-03-13,3728
C0006,2024-03-22,3251
C0006,2024-04-20,2868
C0006,2024-05-07,2889
C0006,2024-06-02,3783
C0006,2024-06-10,1293
C0006,2024-06-24,2252
C0006,2024-07-05,3296
C0006,2024-07-16,1807
C0006,2024-07-29,2741
C0006,2024-08-11,591
C0006,2024-08-20,630
C0006,2024-09-13,2806
C0006,2024-10-07,1842
C0006,2024-10-17,3481
C0006,2024-11-09,2376
C0006,2024-11-18,3715
C0007,2024-02-15,1816
C0007,2024-03-16,413
C0007,2024-04-02,3704
C0007,2024-04-21,1500
C0007,2024-05-20,1989
C0007,2024-06-04,3919
C0007,2024-06-17,3846
C0007,2024-07-08,736
C0007,2024-07-30,2634
C0007,2024-08-07,2382
C0007,2024-08-26,720
C0007,2024-09-17,419
C0007,2024-10-15,386
C0007,2024-11-14,3972
C0007,2024-12-13,442
C0007,2024-12-27,3282
C0008,2024-02-23,190
C0008,2024-03-20,2084
C0008,2024-04-08,225
C0008,2024-04-17,3754
C0008,2024-05-06,1082
C0008,2024-05-17,1717
C0008,2024-06-03,1243
C0008,2024-06-29,2926
C0008,2024-07-23,2213
C0008,2024-08-10,293
C0008,2024-08-21,1735
C0008,2024-09-03,2121
C0008,2024-09-18,2889
C0008,2024-10-07,2586
C0008,2024-10-28,768
C0008,2024-11-18,3336
C0008,2024-12-17,1636
C0009,2024-02-19,3360
C0009,2024-03-14,3362
C0009,2024-03-28,3994
C0009,2024-04-27,1700
C0009,2024-05-16,2961
C0009,2024-05-23,430
C0009,2024-06-13,1212
C0010,2024-02-01,2681
C0010,2024-02-29,1758
C0010,2024-03-27,2036
C0010,2024-04-21,3440
C0010,2024-05-08,2837
C0010,2024-05-21,3443
C0011,2024-01-24,3482
C0011,2024-02-01,2745
C0011,2024-02-18,2194
C0011,2024-02-29,2669
C0011,2024-03-22,2327
C0011,2024-03-29,2326
C0011,2024-04-10,795
C0011,2024-04-27,791
C0011,2024-05-14,2271
C0011,2024-06-01,2796
C0011,2024-06-11,3197
